Address,Postcode,Phone number
"7 Sarabeth Drive, Tunley",BA2 0EA,(01225) 301734
"4 Marsh Street, Warminster",BA12 9PG,(01985) 665466
"153 Cavalier Way, Yeovil",BA21 5UE,(01935) 201538
"Fern Cottage, Church Path, Queen Camel",BA22 7NX,(01935) 425622
"2 Coronation Villas, Templecombe",BA8 0JS,(01963) 788364
"99 Englishcombe Lane, Bath",BA2 2EH,(01225) 465218
"Tucking Mill Cottage, Midford",BA2 7DB,(01225) 740051
"35 Millards Close, Hilperton Marsh",BA14 7UN,(01225) 475023
"Frys Lane Cottage, Frys Lane, Batcombe",BA4 6DH,(01749) 583846
"19 Alexandra Road, Yeovil",BA21 5AL,(01935) 228018
"5 Westwoods, Bath",BA1 7QE,(01225) 583651
"52 Goldcroft, Yeovil",BA21 4DH,(01935) 856303
"1 Glovers Mews, Central Road, Yeovil",BA20 1JU,(01935) 121145
"26 Moorfields Road, Bath",BA2 2DQ,(01225) 766107
"7 Alexanders Close, Meare",BA6 9HP,(01458) 130840
"52 Virginia Drive, Warminster",BA12 8RR,(01985) 445364
"Barrow Stile Cottage, St Marys Lane, Pilton",BA4 4BD,(01749) 181436
"Astra House, Lower Bristol Road, Bath",BA2 1HB,(01225) 726508
"8 Rodwell Park, Trowbridge",BA14 7LZ,(01225) 180241
"Sunnymead, Priors Hill, Timsbury",BA2 0DG,(01761) 208164
"Ivy Cottage, Fosse Road, Stratton On The Fosse",BA3 4RG,(01761) 562717
"17 Northend, Batheaston",BA1 7EE,(01225) 835450
"19 Christchurch Street West, Frome",BA11 1EG,(01373) 100102
"52 Holcombe Vale, Bathampton",BA2 6UX,(01225) 324285
"19 Stradbrook, Bratton",BA13 4SG,(01985) 570240
"Flat, 19 Milsom Street, Bath",BA1 1DE,(01225) 226534
"Midridge, Broadmoor Lane, Bath",BA1 4LL,(01225) 431627
"93 Hawthorn Grove, Bath",BA2 5QG,(01225) 480081
"Romsey Oak Farmhouse, Wingfield",BA14 9LS,(01373) 753634
"8 Norleaze, Heywood",BA13 4LQ,(01985) 127376
"47 Tellis Cross, East Coker",BA22 9HP,(01935) 236200
"Unit 16-18 Treenwood Industrial Estate, Bradford-On-Avon",BA15 2AU,(01225) 450482
"10 Percy Terrace, Bath",BA2 3FU,(01225) 185454
"1 Hewitt Close, Trowbridge",BA14 7SG,(01985) 773488
"22 Willow Grove, Trowbridge",BA14 0HA,(01373) 086572
"3 Audley Avenue, Bath",BA1 3BL,(01225) 145845
"35 Temple, Corsley",BA12 7QN,(01985) 310588
"Manor Farm House, Higher Ansford, Castle Cary",BA7 7JQ,(01963) 673231
"Beech Heights, Highbury Street, Coleford",BA3 5NT,(01373) 056873
"Flat 3, 22 Magdalene Street, Glastonbury",BA6 9EH,(01458) 223847
"340 Bloomfield Road, Bath",BA2 2PB,(01225) 858810
"Cedar Lodge, Baileys Lane, Westcombe",BA4 6EN,(01749) 485305
"2 Maia Terrace, Glastonbury",BA6 9GW,(01458) 337057
"Flat 1, 3 Waterloo Road, Shepton Mallet",BA4 5HG,(01749) 025802
"The Oaks, 4 St Marys View, West Coker",BA22 9DD,(01935) 248185
"5 Hoares Lane, Kilmersdon",BA3 5ST,(01373) 307358
"Oakleigh, 2 Marsh Lane, South Cheriton",BA8 0BJ,(01963) 563324
"3 North Grove, Wells",BA5 2TD,(01749) 523687
"16 St Margarets Street, Bradford-On-Avon",BA15 1DA,(01225) 258750
"30 Wansdyke Road, Bath",BA2 2TG,(01225) 738003
"Lower Cockhill Farmhouse, Cockhill, Castle Cary",BA7 7NZ,(01963) 102745
"1 Styles Avenue, Frome",BA11 5JN,(01373) 366478
"41 Edward Street, Lower Weston",BA1 3BR,(01225) 630121
"18 Kensington Gardens, Bath",BA1 6LH,(01225) 375283
"32 Silver Street Lane, Trowbridge",BA14 0JW,(01373) 434556
"6 Westway Lane, Shepton Mallet",BA4 5RB,(01749) 483821
"32 Ash Close, Wells",BA5 2QR,(01749) 756563
"3 Westhill Road, Radstock",BA3 3UZ,(01761) 483635
"1 Wyke Road, Wyke Champflower",BA10 0PZ,(01963) 656377
"24 Nash Lane, Yeovil",BA20 2HN,(01935) 715642
"72 Combe Park, Bath",BA1 3NE,(01225) 353036
"Yew Tree House, Mells Lane, Chantry",BA11 3LW,(01373) 551840
"6 Lorne Place, Wells",BA5 2XF,(01749) 725582
"Tern House, Charlton Musgrove",BA9 8EX,(01963) 048675
"Chessiels, East Coker",BA22 9HD,(01935) 313327
"12 Berkeley Place, Bath",BA1 5JH,(01225) 000262
"6 Bay Tree Road, Bath",BA1 6NA,(01225) 364014
"2 Hawthorn Road, Yeovil",BA21 5PG,(01935) 637656
"23 Fortescue House, Court Street, Trowbridge",BA14 8FA,(01225) 363728
"Funtle House, Funtle Lane, Cranmore",BA4 4LD,(01749) 018781
"The Cottage, Holly Hill, Batcombe",BA4 6BL,(01749) 272533
"19 Tynings Way, Lower Westwood",BA15 2BT,(01225) 471456
"6 Cleveland Place East, Bath",BA1 5DJ,(01225) 654188
"15 Apsley Close, Hilperton",BA14 7RD,(01380) 868272
"4 Alum Close, Trowbridge",BA14 7HD,(01985) 762727
"Rosewood, Shaftesbury Road, Bath",BA2 3LH,(01225) 615480
"Garages 56-61 Westfield Road, Frome",BA11 4HX,(01373) 612072
"2 Forester Court, Bath",BA2 6QZ,(01225) 086624
"Barn Farm, Tadhill Lane, Stoke St Michael",BA3 5GZ,(01749) 045088
"4 Bleet, Steeple Ashton",BA14 6EA,(01380) 243812
"The Round House, Batcombe",BA4 6HD,(01749) 888874
"The Retreat, Park Hill, Pilton",BA4 4EE,(01749) 576818
"25 Seeley Crescent, Street",BA16 0RN,(01458) 840551
"35 Granville Road, Lansdown",BA1 9DN,(01225) 113203
"Beechwood, The Avenue, Timsbury",BA2 0HU,(01761) 748365
"The Field, Buckland Dinham",BA11 2RA,(01373) 113017
"41 Alexandra Road, Yeovil",BA21 5AL,(01935) 641303
"Beechfield Lodge, Horsington",BA8 0DL,(01963) 014045
"12 College Road, Wells",BA5 2TB,(01749) 387687
"6 Fourways Close, Castle Cary",BA7 7JF,(01963) 652430
"38 Chapel Road, Heytesbury",BA12 0HA,(01985) 825172
"Claremont Farm, North Cheriton",BA8 0AA,(01963) 553466
"5 Charnwood Road, Trowbridge",BA14 9DE,(01225) 826108
"23 Green Lane, Trowbridge",BA14 7DD,(01985) 180742
"Montague House, High Street, Wylye",BA12 0QR,(01985) 454484
"Greenditch Farm, Parsonage Lane, Chilcompton",BA3 4JU,(01761) 306257
"Littleton Mill Farm, Littleton, Semington",BA14 6LQ,(01380) 042320
"1 All Saints Cottages, Church Street, Castle Cary",BA7 7FD,(01963) 215062
"20 Coombe Lane, Shepton Mallet",BA4 5XD,(01749) 786215
"Rodden Manor Mill Cottage, Warminster Road, Rodden",BA11 5LE,(01373) 150857
"17 Bridge Avenue, Trowbridge",BA14 9SH,(01225) 323600
"31A Southgate, Bath",BA1 1TP,(01225) 687342
"6 The Laurels, Westwood",BA15 2AX,(01225) 051084
"10 Deverell Close, Bradford-On-Avon",BA15 1UU,(01225) 160807
"14 The Batch, Batheaston",BA1 7DR,(01225) 433540
"West Side Barn, Cary Fitzpaine",BA22 8JB,(01935) 706283
"Bathway Service Station, Trowbridge Road, Beckington",BA11 6SF,(01373) 061835
"33 Elm Way, Shepton Mallet",BA4 5JX,(01749) 334577
"New Cottage, Discove, Bruton",BA10 0NF,(01963) 070640
"The Bungalow, Brick Hill, Bruton",BA10 0BW,(01963) 344382
"16 Southwoods, Yeovil",BA20 2QG,(01935) 517034
"8 Algar Court, Parsons Way, Wells",BA5 2FY,(01458) 243106
"Little House, Bath Road, Norton St Philip",BA2 7LP,(01225) 516748
"7 Vine Cottages, Bradford-On-Avon",BA15 1NR,(01225) 625662
"44 White Mead, Yeovil",BA21 3RX,(01935) 351734
"Ground Floor Flat, Summer House, 79 High Street, Glastonbury",BA6 9DT,(01458) 624476
"25 Masons Way, Frome",BA11 4QD,(01373) 576230
"184 Mudford Road, Yeovil",BA21 4NJ,(01935) 807824
"3 Coppitts Hill, Yeovil",BA21 3PN,(01935) 262566
"68 The Roman Way, Glastonbury",BA6 8AD,(01458) 535318
"38 Newtown, Westbury",BA13 3EE,(01985) 584673
"Flat 3B, 14 Portland Place, Bath",BA1 2RY,(01225) 703506
"19 Milford Road, Yeovil",BA21 4QE,(01935) 330881
"26 Bove Town, Glastonbury",BA6 8JE,(01458) 751574
"7 Blackbird Close, Midsomer Norton",BA3 4PY,(01761) 513347
"8 Southdown Way, Warminster",BA12 8FP,(01985) 876070
"1 Church Lane, Evercreech",BA4 6HU,(01749) 241622
"Flat 3, Glebe House, Widcombe Hill, Bath",BA2 6AA,(01225) 778017
"2 Ham Gardens, Midsomer Norton",BA3 2UQ,(01761) 142650
"174A Winsley Road, Bradford-On-Avon",BA15 1NY,(01225) 787722
