Address,Postcode,Phone number
"13 Baslow Grove, Bradford",BD9 5JA,(01274) 601470
"3 The Willows, Baildon",BD17 5BZ,(01274) 172622
"1 Fernbank Drive, Bingley",BD16 4HB,(01535) 445465
"175 Old Road, Bradford",BD7 4NF,(01274) 181437
"3 High Bank, Bradley",BD20 9QH,(01756) 726500
"3 Duchy Grove, Bradford",BD9 5NA,(01274) 835423
"5 Bowling Green View, Drighlington",BD11 1JP,(01274) 355206
"Manor Cottage, Hatchet Lane, Oakenshaw",BD12 7EG,(01274) 207860
"121 Elmfield Drive, Bradford",BD6 1PS,(01274) 151633
"32 Windhill Old Road, Bradford",BD10 0SH,(01943) 258556
"20 Wyke Bottoms, Oakenshaw",BD12 7HT,(01274) 804528
"94 Ford Hill, Queensbury",BD13 2BQ,(01422) 853882
"98 New Cross Street, Bradford",BD5 8BS,(01274) 588054
"25 Cambrian Bar, Low Moor",BD12 0EB,(01274) 607877
"173 Bradford Road, Shipley",BD18 3TP,(01274) 333040
"182 Bronte Old Road, Thornton",BD13 3HL,(01274) 068112
"2 Ringshaw Drive, Gomersal",BD19 4NZ,(01274) 277026
"141 Moore Avenue, Wibsey",BD6 3JE,(01274) 823188
"28 Swain House Road, Bradford",BD2 1HH,(01274) 558251
"1 The Old School, Otley Road, Bingley",BD16 3HL,(01535) 667174
"36 Hyne Avenue, Bradford",BD4 6BN,(01274) 303146
"2 The Fieldfares, Silsden",BD20 0NU,(01535) 568111
"13 Arthur Avenue, Bradford",BD8 0PF,(01274) 048454
"5 Mercury Quays, Ashley Lane, Shipley",BD17 7DB,(01274) 881127
"96 Bolton Drive, Bradford",BD2 2AA,(01274) 526280
"37 Grasleigh Way, Allerton",BD15 9BE,(01274) 262352
"Dove Hall, Green Lane, Baildon",BD17 5AP,(01943) 321615
"Hainsworth House Farm, Kildwick",BD20 9AD,(01535) 215151
"82 Buttershaw Drive, Bradford",BD6 3SB,(01274) 701663
"Fibres House, 1 Ackroyd Place, Queensbury",BD13 2HE,(01422) 064316
"2 - 3 Breaks Fold, Wyke",BD12 9EU,(01422) 380830
"2 Fagley Rise, Bradford",BD2 3FZ,(01274) 025002
"173 Sandford Road, Bradford",BD3 9NU,(01274) 505245
"3 Canary Drive, Bingley",BD16 3PY,(01535) 860088
"8 Bale Drive, Bradford",BD10 8WX,(01274) 515050
"2 Brook Terrace, Lothersdale",BD20 8EY,(01756) 241122
"3 Quay Close, Bradford",BD6 3QW,(01274) 350036
"65 Low Street, Keighley",BD21 3QP,(01535) 085108
"223 Canterbury Avenue, Bradford",BD5 9JY,(01274) 044462
"1 Whitby Terrace, Bradford",BD8 9JL,(01274) 317114
"5 Well Street, Keighley",BD21 2DU,(01535) 787457
"Foxup House Farm, Foxup",BD23 5QP,(01729) 433520
"7 Shuttle Fold, Haworth",BD22 8RX,(01535) 632443
"278 Holme Lane, Bradford",BD4 0PX,(01274) 377515
"60 Catherine Street, Keighley",BD21 1HB,(01535) 013577
"20 Charles Avenue, Bradford",BD3 8HF,(01274) 122401
"28 Booth Street, Cleckheaton",BD19 3PZ,(01274) 543275
"13 Spencer Avenue, Bradford",BD7 2HE,(01274) 178347
"14 Main Street, Sutton In Craven",BD20 7HD,(01535) 386261
"Railways Edge, Thackley Road, Bradford",BD10 0RH,(01943) 501354
"1 Wellington Street, Birkenshaw",BD11 2AJ,(01274) 610277
"50 Greenwood Avenue, Bradford",BD2 1JJ,(01274) 355340
"11 Fairfax House, Barkerend Road, Bradford",BD1 4AR,(01274) 081412
"4A Main Road, East Morton",BD20 5SH,(01535) 734307
"123 Cross Lane, Birkenshaw",BD11 2BY,(01274) 108140
"56A Kirkgate, Shipley",BD18 3EL,(01274) 734112
"9 Castle Court, Castle Road, Keighley",BD21 2SX,(01535) 000166
"36 Main Road, Denholme",BD13 4DD,(01535) 363718
"92 Pasture Lane, Clayton",BD14 6NE,(01274) 018871
"Flat 1, 87A Kirkgate, Shipley",BD18 3LR,(01274) 803426
"Upper Lingah Barn, Lingah Hill, Glusburn",BD20 8BD,(01756) 862781
"644 Cleckheaton Road, Low Moor",BD12 0LQ,(01274) 235433
"41 Crag Road, Shipley",BD18 2EX,(01274) 711045
"27 Melford Street, Bradford",BD4 9NB,(01274) 382288
"The Old Vicarage, 21 Hebden Bridge Road, Oxenhope",BD22 9LY,(01535) 144052
"14 Cross Lane Mill, Bradley",BD20 9QB,(01756) 721886
"5 Ashlar Close, Haworth",BD22 8JF,(01535) 870250
"17 Thompson Avenue, Bradford",BD2 1JR,(01274) 525322
"3 Marley Close, Bradford",BD8 0LS,(01274) 880064
"6 Hurstville Avenue, Bradford",BD4 6PX,(01274) 360317
"41 Rushmoor Road, Bradford",BD4 9BA,(01274) 005370
"20 Ivy Terrace, Bradford",BD6 2DE,(01274) 114203
"294 Bowling Old Lane, Bradford",BD5 7BB,(01274) 477846
"38 Devonshire Street West, Keighley",BD21 2LY,(01535) 808630
"20 Lodore Avenue, Bradford",BD2 4JG,(01274) 162372
"14 Park Crescent, Embsay",BD23 6PB,(01756) 717444
"Summerfield, Baxter Wood, Cross Hills",BD20 8BB,(01756) 016357
"7 Heaton Grove, Bradford",BD9 4DX,(01274) 768121
"26 - 28 Church Bank, Bradford",BD1 4DZ,(01274) 611784
"16 Launceston Drive, Bradford",BD4 0JB,(01274) 346856
"11 Dalton Terrace, Keighley",BD21 4AT,(01535) 826100
"16 Green Street, Cowling",BD22 0AT,(01535) 181842
"13 Manor Close, Bradford",BD8 0NF,(01274) 736814
"26 Ward Street, Bradford",BD7 3PR,(01274) 035737
"31 Valley View Drive, Greengates",BD10 0FF,(01943) 571800
"35A Bradford Road, Drighlington",BD11 1AS,(01274) 216062
"379 Whitehall Road West, Cleckheaton",BD19 4EE,(01274) 110507
"16 Beech Street, Cross Hills",BD20 8TL,(01535) 745660
"Beech Grove, Main Street, Sutton In Craven",BD20 7JS,(01535) 471732
"17 Carmona Gardens, Shipley",BD18 2AF,(01274) 680655
"3 Moorview Drive, Shipley",BD18 1LP,(01274) 325627
"82 Fenby Avenue, Bradford",BD4 8QX,(01274) 433541
"5 Westbourne Road, Bradford",BD8 7PP,(01274) 540056
"16 Burnroyd Avenue, Cross Hills",BD20 8TP,(01535) 557447
"12 Hoyle Court Drive, Baildon",BD17 6HA,(01943) 765362
"252 Ingleby Road, Bradford",BD7 2BB,(01274) 246615
"3 Martin Bell Way, Shipley",BD18 2BU,(01274) 510347
"122 Reevy Road, Bradford",BD6 3QE,(01274) 452110
"49 Springmill Street, Bradford",BD5 7EE,(01274) 411474
"Thorpe House, Beck Lane, Bingley",BD16 4DN,(01535) 146446
"693 Bradford Road, Birkenshaw",BD11 2AX,(01274) 782518
"3 Old Manse Croft, Oxenhope",BD22 9LG,(01535) 155251
"30 Clarendon Road, Bingley",BD16 3DL,(01535) 264174
"7 - 11 Swadford Street, Skipton",BD23 1RD,(01756) 800246
"3 Denbrook Close, Bradford",BD4 0QR,(01274) 644232
"34 Jackson Row, Glusburn",BD20 8FL,(01756) 370304
"53 Northgate, Baildon",BD17 6LB,(01943) 066238
"Manor Cottage, Old Hollins Hill, Esholt",BD17 7QS,(01943) 612301
"6 Brick Row, Wyke",BD12 9PQ,(01422) 347463
"The Green, Airton",BD23 4AH,(01729) 612115
"73 South Street, Keighley",BD21 1AD,(01535) 720038
"15 Brackendale Lodge, Brackendale, Bradford",BD10 0AP,(01943) 663602
"Stonelands House, Litton",BD23 5QH,(01729) 143045
"215 Quarry Road, Gomersal",BD19 4RS,(01274) 778117
"7 Glenview Drive, Shipley",BD18 4AS,(01274) 424270
"4 Fairway Drive, Bradford",BD7 4JN,(01274) 730604
"56 Heaton Park Drive, Bradford",BD9 5QQ,(01274) 465756
"6 Alexander Street, Bradford",BD6 1TZ,(01274) 327420
"159 Birch Lane, Bradford",BD5 8PA,(01274) 476783
"161 Leeds Road, Idle",BD10 9SE,(01943) 112855
"West Barn, Lower Green, Baildon",BD17 7NB,(01274) 221778
"Long View, Wigglesworth",BD23 4RL,(01729) 063542
"Haygill Barn, Bank Lane, Silsden",BD20 9JB,(01756) 286635
"15 Highgate Road, Queensbury",BD13 2SQ,(01274) 658201
"13 Prospect Villas, Cleckheaton",BD19 3BT,(01274) 717565
"15 Victoria Road, Shipley",BD18 3LQ,(01274) 412081
"3 Industrial Street, Scholes",BD19 6NU,(01422) 833675
"2 Ascot Gardens, Bradford",BD7 4NL,(01274) 207327
"4 Glen Dene Close, Queensbury",BD13 2NF,(01422) 843480
"19 Broomhill Mount, Keighley",BD21 1NQ,(01535) 736034
"409 Harewood Street, Bradford",BD3 9EF,(01274) 472106
"81A Wesley Place, Keighley",BD21 5ET,(01535) 117268
"8 Fairbank Terrace, Bradford",BD8 9JS,(01274) 226182
"1 Willow Tree Gardens, Birkenshaw",BD11 2DN,(01274) 275446
"28 Horsley Street, Bradford",BD6 1NJ,(01274) 372838
"Bar Farm Cottage, Brighouse & Denholme Road, Thornton",BD13 3SS,(01422) 655404
"250 Great Horton Road, Bradford",BD7 1PU,(01274) 382888
"17 Navigation Court, Birkenshaw",BD11 2PN,(01274) 037851
"Silsden & Steeton Medical Practice, Elliott Street, Silsden",BD20 0DG,(01535) 136774
"1 Moor Lane, Eastburn",BD20 8UL,(01535) 410427
"12 Rooks Avenue, Cleckheaton",BD19 3YD,(01274) 831211
"21 Bela Avenue, Bradford",BD4 9PL,(01274) 566373
"4 Yew Tree Grove, Bradford",BD8 0AE,(01274) 675286
"3 The Shroggs, Steeton",BD20 6TG,(01535) 311358
"19 Brow Road, Haworth",BD22 8LD,(01535) 056421
"72 Smith Lane, Bradford",BD9 6DQ,(01274) 220163
"1 Sunderland Street, Cross Roads",BD22 9BN,(01535) 701316
"Long View, Wigglesworth",BD23 4RL,(01729) 436478
"19 Westgate, Cleckheaton",BD19 5EY,(01274) 485743
"Fibres House, 1 Ackroyd Place, Queensbury",BD13 2HE,(01422) 337516
"2 Rockville Drive, Embsay",BD23 6NS,(01756) 652031
"Long Barn, Birks Fold, Bradford",BD7 2QN,(01274) 387102
"Sansbury Place, Duke Street, Settle",BD24 9AS,(01729) 868445
"Greenhill Lodge, Lady Lane, Bingley",BD16 4AT,(01535) 414507
"265 Wibsey Park Avenue, Bradford",BD6 3QU,(01274) 140560
"21 Dane Hill Drive, Bradford",BD4 0EA,(01274) 678277
"47 Dalcross Grove, Bradford",BD5 7SD,(01274) 314340
"1 Hatcham Close, Allerton",BD15 7UF,(01274) 523263
"51A Westfield Lane, Scholes",BD19 6DR,(01422) 638578
"15 Kings Street, Skipton",BD23 1HD,(01756) 210822
"18 Park View Terrace, Harden",BD16 1LA,(01535) 226414
"7 Alanby Drive, Bradford",BD10 9JF,(01274) 532828
"2 Mount Road, Bradford",BD2 2JD,(01274) 277081
"Spout Yat, Hartlington",BD23 6BY,(01756) 236354
"4 Stirling Street, Silsden",BD20 9PB,(01535) 236168
"114 Cottingley Road, Allerton",BD15 9JU,(01274) 285433
"97 Roundwood Avenue, Bradford",BD10 0LB,(01274) 344707
"Flat 6, 49 Bank Street, Bradford",BD1 1UG,(01274) 206460
