Address,Postcode,Phone number
"Rose Cottage, Brough",CA17 4DA,(01931) 028633
"13 Solway Road, Whitehaven",CA28 9AP,(01946) 820855
"Oustenstands, Temple Sowerby",CA10 1SS,(01768) 284507
"24 Latrigg Street, Silloth",CA7 4EJ,(016973) 61306
"11 Wellside Walk, Carlisle",CA1 3TP,(01228) 038583
"Meadow View, Ivegill",CA4 0PG,(016974) 30223
"2 Wadsworth Road, Carlisle",CA2 5SF,(01228) 526328
"102 Duke Street, Whitehaven",CA28 7EH,(01946) 780061
"12 Maryport Cottages, Carlisle",CA2 5LH,(01228) 632734
"The Brambles, Ainstable",CA4 9QN,(01697) 212077
"2 Beech Lane, Cockermouth",CA13 9HG,(01900) 426250
"8 Garborough Close, Crosby",CA15 6RZ,(01900) 320605
"Red Spears, Raughton Head",CA5 7DL,(016974) 58434
"39 Etterby Lea Road, Carlisle",CA3 9JW,(01228) 857180
"New Cowper Farm, Aspatria",CA7 3LD,(016973) 22273
"105 Moresby Parks Road, Moresby Parks",CA28 8XQ,(01946) 867804
"Little Mill Farm, Little Mill, Egremont",CA22 2NN,(01946) 610567
"5 St Martins Close, Brampton",CA8 1TH,(01697) 611780
"12 Station Street, Maryport",CA15 6LS,(01900) 182133
"82 Main Street, Cockermouth",CA13 9LU,(01900) 611505
"1 Park View Lane, Alston",CA9 3TW,(01697) 874247
"Unit 17 Bowerbank Way, Gilwilly Industrial Estate",CA11 9BQ,(01768) 247070
"9 Princes Road, Cockermouth",CA13 0AE,(01900) 240202
"25 Yeowartville, Workington",CA14 2BY,(01900) 413844
"3 Stanley Crescent, Gilsland",CA8 7BH,(01697) 084287
"2 Lowther View, Clifton",CA10 2EB,(01768) 357830
"173 Newlands Lane South, Workington",CA14 3NS,(01900) 786302
"Victoria Bungalow, Loop Road, Distington",CA14 5SY,(01900) 051044
"28 William Morris Avenue, Cleator Moor",CA25 5DS,(01946) 324686
"14 Thirlmere Street, Carlisle",CA2 4AP,(01228) 326018
"23 Lediard Avenue, Carlisle",CA2 4BP,(01228) 580651
"4 Burnt Houses, Whitehaven",CA28 9HU,(01946) 160004
"Ash Trees, Hallfield, Dalston",CA5 7QH,(016974) 43464
"44 Brampton Road, Carlisle",CA3 9AT,(01228) 276300
"19 Cross Grove, Wigton",CA7 9DQ,(016973) 82246
"Beck Mill Cottage, Langwathby",CA10 1NY,(01768) 557534
"4 Mellfell Cottages, Watermillock",CA11 0LS,(017684) 24447
"Station View, Clifton",CA10 2EX,(01768) 186242
"Cairn Cottage, Hallbankgate",CA8 1LY,(01697) 188464
"Lily Cottage, Langrigg",CA7 3LH,(016973) 18685
"85 Warwick Road, Carlisle",CA1 1EB,(01228) 411471
"1 River View, Braystones",CA21 2YJ,(01946) 830842
"3 Beechwood Avenue, Carlisle",CA3 9BU,(01228) 048765
"Low Dyke, Calthwaite",CA11 9PS,(01768) 674837
"Greenrigg House, Caldbeck",CA7 8HJ,(016973) 05756
"Shady Nook, 3 Meadow Road, Whitehaven",CA28 8EH,(01946) 478353
"45 Westfield Drive, Workington",CA14 5AZ,(01900) 643006
"10 Elmer Place, Carlisle",CA3 0FR,(01228) 644228
"24 Haig Road, Carlisle",CA1 3AS,(01228) 163780
"Roseneath, Plains Road, Wetheral",CA4 8JY,(01228) 437432
"Hyzenthley, Brownber, Newbiggin On Lune",CA17 4NX,(015396) 33865
"11 Kendal Street, Carlisle",CA2 5UF,(01228) 603307
"4 Castle Mount, Armathwaite",CA4 9PE,(016974) 34078
"2 Murton Court, Arlecdon",CA26 3UR,(01946) 075754
"122A Dalston Road, Carlisle",CA2 5PJ,(01228) 877176
"16 Ehen Road, Thornhill",CA22 2SH,(01946) 720740
"6 Hawkshead Avenue, Workington",CA14 3HP,(01900) 838653
"Sea Breeze, Marine Road, Maryport",CA15 8AY,(01900) 836245
"8 Fleming Square, Maryport",CA15 6ET,(01900) 200887
"17 Spruce Grove, Whitehaven",CA28 6NP,(01946) 152551
"1 The Oaks, Stainburn",CA14 1WJ,(01900) 325203
"2 Parkside Princess Street, Workington",CA14 2PB,(01900) 680045
"7 Burnfoot, Wigton",CA7 9HL,(016973) 26028
"1 Pine Grove, Lazonby",CA10 1BE,(01768) 162511
"Mons, Ehen Road, Thornhill",CA22 2SQ,(01946) 435253
"4 Barrock Street, Carlisle",CA1 2EU,(01228) 854625
"2 Naddle Gate, Burn Banks",CA10 2RL,(01931) 856847
"22 Bleng Avenue, Whitehaven",CA28 8AG,(01946) 120680
"South Lodge, Dovenby",CA13 0PQ,(01900) 755642
"Lyndhurst, Townfoot, Alston",CA9 3HX,(01697) 171266
"2 White House, Walton",CA8 2DJ,(01697) 500637
"32 Brooklands Avenue, Maryport",CA15 7PZ,(01900) 873370
"39 Crossfield Road, Cleator Moor",CA25 5BY,(01946) 865603
"4 Park Links, Frizington",CA26 3RE,(01946) 148345
"25 Bousteads Grassing, Carlisle",CA2 5LQ,(01228) 413087
"2 Mill Street North, Maryport",CA15 6DE,(01900) 776630
"Eden Croft, Crosby On Eden",CA6 4QN,(01228) 205101
"Wellknowe Rigg, Longtown",CA6 5TS,(01461) 775444
"Caysburn Cottage, Roweltown",CA6 6LA,(01697) 040186
"Burnt Walls Farm, Greenhead",CA8 7HX,(01697) 042410
"10 Croftside, Cockermouth",CA13 9QX,(01900) 744513
"Loshville, 15 Etterby Scaur, Carlisle",CA3 9PA,(01228) 843436
"31 South View Road, Whitehaven",CA28 6ED,(01946) 216178
"10 Haile Park, Haile",CA22 2ND,(01946) 480721
"Jubilee House, Victoria Road, Cockermouth",CA13 9QN,(01900) 018382
"10 Brunswick Road, Penrith",CA11 7LU,(01768) 273034
"The Mount, Sandy Lane, Great Corby",CA4 8NQ,(01228) 274257
"Southward, Embleton",CA13 9XP,(017687) 54880
"4 Beechwood Avenue, Carlisle",CA3 9BU,(01228) 440222
"3 Lazonby Row, Glasson",CA7 5ED,(01461) 714864
"5 Netherfield Close, Hensingham",CA28 8YL,(01946) 177516
"Rose Brae, Kirkbride",CA7 5JH,(016973) 18500
"Westerly, Toll Bar Crescent, Whitehaven",CA28 6ND,(01946) 087312
"69 Alexander Street, Carlisle",CA1 2LJ,(01228) 351054
"Wellington House, Front Street, Orton",CA10 3RJ,(01931) 203627
"18 Scawfell Crescent, Seascale",CA20 1LG,(01946) 045480
"7 Suffolk Close, Whitehaven",CA28 8JR,(01946) 254313
"65 Castlegate Drive, Cockermouth",CA13 9HD,(01900) 427056
"31 Croft Park, Wetheral",CA4 8JH,(01228) 426761
"39 Meadow View, Carlisle",CA1 3JJ,(01228) 781413
"2 Church View, Lowca",CA28 6PN,(01946) 261756
"42 Pearl Road, Salterbeck",CA14 5EE,(01900) 535408
"27 Main Street, Cleator",CA23 3BU,(01946) 487152
"58 Bowness Court, Workington",CA14 3SG,(01900) 651704
"Wellknowe Rigg, Longtown",CA6 5TS,(01461) 503567
"1 Railway Cottages, Bullgill",CA15 6TN,(01900) 445230
"6 Goschen Road, Carlisle",CA2 5PF,(01228) 347453
"52 Esk Avenue, Whitehaven",CA28 8AN,(01946) 611205
"35 Main Street, Dearham",CA15 7HP,(01900) 140666
"Braemar, Norfolk Road, Penrith",CA11 9DZ,(01768) 413318
"High Park, Lamplugh",CA14 4TZ,(01900) 777051
"East View, Newton Reigny",CA11 0AY,(01768) 670274
"16 The Oaks, Egremont",CA22 2HX,(01946) 043026
"Crocus Hill, Heads Nook",CA8 9AF,(01697) 423260
"69 Grasslot, Maryport",CA15 8DA,(01900) 158322
"Golfthwaite, The Banks, Seascale",CA20 1QR,(01946) 151644
"2 Ellergill, Gaisgill",CA10 3UW,(01931) 424386
"74 Leathwaite, Whitehaven",CA28 7UQ,(01946) 853757
"2 Harbour Terrace, Workington",CA14 2HX,(01900) 227400
"Apartment 4, Cavendish Court, Warwick Road, Carlisle",CA1 1EL,(01228) 481142
"Greenacres, Kirkby Thore",CA10 1XE,(01931) 680066
"137A High Street, Maryport",CA15 6EJ,(01900) 713158
"19 Greenmoor Road, Egremont",CA22 2QR,(01946) 656822
"87 Currock Park Avenue, Carlisle",CA2 4DJ,(01228) 071346
"92 Seven Acres, Parton",CA28 6RF,(01946) 400817
"6 New Row, Oughterside",CA7 2PR,(016973) 61862
"26 Ruby Road, Salterbeck",CA14 5EG,(01900) 344783
"62 Curzon Street, Maryport",CA15 6DA,(01900) 246115
"Hollycroft, Buckabank",CA5 7AA,(016974) 51075
"33 Ewanrigg Road, Maryport",CA15 8HJ,(01900) 873401
"1 Ghyllfoot Cottages, Arkleby",CA7 2BJ,(016973) 31286
"37 Ashley Street, Carlisle",CA2 7BD,(01228) 676514
"2 Croft Foot, Sockbridge",CA10 2JW,(01768) 578836
"Glenholme, Beckermet",CA21 2XP,(01946) 008521
"4 Friary Park, Appleby-In-Westmorland",CA16 6XD,(01931) 634683
"Brocavum, Brougham",CA10 2AA,(01768) 536015
"109 High Road, Whitehaven",CA28 9ER,(01946) 800657
"33 Skiddaw Road, Carlisle",CA2 5QS,(01228) 702870
"129 Denton Street, Carlisle",CA2 5EN,(01228) 331432
"Darling How, Lorton",CA13 9UE,(017687) 17310
"29 Milbourne Court, Milbourne Street, Carlisle",CA2 5XQ,(01228) 175327
"94 Mount Pleasant Road, Carlisle",CA2 4QH,(01228) 027181
"28 William Morris Avenue, Cleator Moor",CA25 5DS,(01946) 828313
"39 Moorside Drive, Carlisle",CA1 3TE,(01228) 283055
"9 Garbridge Court, Appleby-In-Westmorland",CA16 6JE,(01931) 663308
"5 Kevean Court, Station Road, Wigton",CA7 9BQ,(016973) 18418
"1 Brook Street, Flimby",CA15 8QE,(01900) 523554
"18 Hill Top Road, Whitehaven",CA28 9ED,(01946) 886206
"507 Durdar Road, Carlisle",CA2 4TU,(01228) 771731
"Milestone House, Corby Hill",CA4 8PL,(01697) 426803
"School House, Greenhead",CA8 7HB,(01697) 780545
"Zephyr Bank, The Banks, Seascale",CA20 1QS,(01946) 053287
"Ivy Cottage, Carleton",CA4 0DA,(016974) 05541
"163 Houghton Road, Carlisle",CA3 0LD,(01228) 220153
"10 St Mungos Park, Aspatria",CA7 3JE,(016973) 74862
"26 Nook Street, Workington",CA14 4EQ,(01900) 640846
"1 Fleet Street, Workington",CA14 2QQ,(01900) 582610
"47 Chiswick Street, Carlisle",CA1 1HJ,(01228) 856352
"12 Brunswick Road, Penrith",CA11 7LU,(01768) 130004
"25 Arthuret Drive, Longtown",CA6 5SG,(01461) 403647
"8 - 10 Station Street, Keswick",CA12 5HP,(017687) 40586
"71 Fitz Road, Cockermouth",CA13 0BX,(01900) 668502
"Hall Crest, Long Marton",CA16 6BN,(01931) 511365
"Sunnyside, Orton Grange",CA5 6LA,(01228) 453038
"1 Mosswell Terrace, Whitehaven",CA28 7HH,(01946) 627671
"37 Centurion Rise, Penrith",CA11 8BQ,(01768) 620003
"Claybottom Farm, Hesket Newmarket",CA7 8LA,(016974) 08364
"12 Maryport Court, Carlisle",CA2 5LY,(01228) 735318
"3 St Johns Crescent, Stainton",CA11 0EX,(01768) 677172
"Workington Delivery Office Unit, 3 Derwent Drive, Workington",CA14 2AA,(01900) 116543
"9 Briar Bank, Carlisle",CA3 9SN,(01228) 325466
"26 Main Road, High Harrington",CA14 5NX,(01900) 051538
"7 Field View, Port Carlisle",CA7 5DA,(01461) 224271
"17 Frenchfield Gardens, Penrith",CA11 8TX,(01768) 433184
"Seascale Pharmacy, Gosforth Road, Seascale",CA20 1PR,(01946) 606736
"20 Scaws Drive, Penrith",CA11 8AZ,(01768) 125208
"Kirkby Thore Filling Station, Kirkby Thore",CA10 1XD,(01931) 400841
"13 Oaktree Crescent, Cockermouth",CA13 9HR,(01900) 507764
"4 Pembroke Close, Brough",CA17 4BF,(01931) 243836
"Moss End Cottage, Welton Road, Dalston",CA5 7EL,(016974) 18560
"High Dyke Cottage, Kirkhaugh",CA9 3BG,(01697) 450342
"Scar View, Butterwick",CA10 2QQ,(017684) 35156
"7 Woodland Grange, Dovenby",CA13 0PJ,(01900) 625216
"1 Meadow View, Newton Reigny",CA11 0AE,(01768) 622708
"44 Croft Avenue, Penrith",CA11 7RQ,(01768) 006441
"41 Roper Terrace, Salterbeck",CA14 5NE,(01900) 887653
"5 Lismore Place, Workington",CA14 2BN,(01900) 533725
"4 Brookside, Beckermet",CA21 2XE,(01946) 114168
"85 Newlaithes Avenue, Carlisle",CA2 6PS,(01228) 477711
"Millgrove Court, Low Moresby",CA28 6RT,(01946) 370034
"Alverstone, Brampton Old Road, Carlisle",CA3 0JH,(01228) 643776
"248 High Road, Whitehaven",CA28 9BB,(01946) 017428
"Claydubs, Caldbeck",CA7 8ER,(016974) 43688
"2 Cherry Tree Cottages Gosforth",CA20 1AL,(01946) 700532
"Primrose Cottage, Wigton",CA7 8NR,(016973) 06327
"6 Meadow Close, Gosforth",CA20 1HN,(01946) 544527
"Howgate Farm, Frizington",CA26 3SU,(01946) 727260
"3 Roseville Terrace, Carlisle",CA1 2JD,(01228) 710473
"9 Winston Close, Moresby Parks",CA28 8WF,(01946) 455545
"13 George Street, Wigton",CA7 9PN,(016973) 72828
"Raby Croft Farm, Kirkbride",CA7 5HG,(016973) 83711
"39 Barco Avenue, Penrith",CA11 8LX,(01768) 563273
"4 Orchard Drive, Bothel",CA7 2AQ,(016973) 46550
"45 Primrose Drive, Penrith",CA11 8FD,(01768) 738247
"1 River View, Braystones",CA21 2YJ,(01946) 257610
"Ashley Cottage, Baggrow",CA7 3QF,(016973) 52135
"2 Shaw Street, Workington",CA14 3UU,(01900) 003827
"Park View, Lonsdale Street, Whitehaven",CA28 6DB,(01946) 011410
"109 Blackwell Road, Carlisle",CA2 4EH,(01228) 374152
"8 Scaurbank Road, Carlisle",CA3 9PH,(01228) 648784
