Address,Postcode,Phone number
"1B The Pond, Haddenham",CB6 3XG,(01353) 384388
"Poplar Hall, Horningsea Road, Fen Ditton",CB5 8TA,(01223) 557031
"2 Red Brick Cottages, Cambridge Road, Quendon",CB11 3XH,(01799) 540354
"128 Queen Ediths Way, Cambridge",CB1 8NW,(01223) 823086
"5 Eastwood Close, Sutton",CB6 2RH,(01354) 187638
"1 Meadow Farm Close, Oakington",CB24 3AS,(01954) 451371
"Flat 18, The Gallops, Old Station Road, Newmarket",CB8 8LA,(01638) 665464
"32 Barrons Way, Comberton",CB23 7DR,(01954) 517237
"49 Rooks Street, Cottenham",CB24 8QZ,(01954) 833651
"22 Somerset Close, Cambridge",CB4 2HW,(01223) 775424
"1 Adcroft Piece, Stapleford",CB22 5FD,(01223) 782816
"5 Jordans Yard, Cambridge",CB2 1UG,(01223) 470751
"76 Dobede Way, Soham",CB7 5DB,(01353) 743503
"24 Links Lane, Northstowe",CB24 1BD,(01954) 585256
"Hillside, Hill Lane, Sturmer",CB9 7XP,(01440) 165500
"26 Cherry Garden Lane, Newport",CB11 3PZ,(01799) 810485
"53 Queen Ediths Way, Cambridge",CB1 8PJ,(01223) 274237
"22 Abbey Street, Ickleton",CB10 1SS,(01799) 126801
"36 Fairfax Road, Cambridge",CB1 3BD,(01223) 380543
"52 Chartfield Road, Cambridge",CB1 9JY,(01223) 653285
"3 Templars Court, Haverhill",CB9 9AJ,(01440) 037837
"2 Snowdrop Road, Rickling Green",CB11 3NP,(01799) 201570
"4 Houghtons Lane, Isleham",CB7 5SR,(01638) 564322
"20 Eastby Close, Saffron Walden",CB11 3BT,(01799) 416075
"88 High Street, Barton",CB23 7BG,(01223) 771627
"25 Kimberley Road, Cambridge",CB4 1HG,(01223) 044360
"14 Cardinals Way, Ely",CB7 4GB,(01353) 573832
"7 Bevin Court, Littleport",CB6 1SF,(01353) 747574
"149 Huntingdon Road, Cambridge",CB3 0DH,(01223) 152008
"82 Eastfield, Chesterton",CB4 1SA,(01223) 681460
"Lodge Cottage, 1A Star & Garter Lane, Cheveley",CB8 9EW,(01638) 433233
"5 Nunns Way, Sutton",CB6 2PH,(01354) 707875
"96 Shetland Road, Haverhill",CB9 0LR,(01440) 601420
"Chestnut View, Carmel Street, Great Chesterford",CB10 1PH,(01799) 120882
"12 Clover Court, Cambridge",CB1 9YN,(01223) 062554
"25C Symonds Lane, Linton",CB21 4HY,(01799) 864867
"Flat 58, Marque House, 143 Hills Road, Cambridge",CB2 8RA,(01223) 237510
"20 Collingwood Drive, Longstanton",CB24 3GW,(01954) 512252
"16 Villa Road, Impington",CB24 9NZ,(01223) 454025
"Flat 4, King Edward House, 27 Queen Ediths Way, Cambridge",CB1 7AX,(01223) 627667
"20 Jacksons Lane, Great Chesterford",CB10 1PU,(01799) 620880
"3 Wrens Close, Ely",CB6 3EQ,(01353) 883532
"The Turigs, Cambridge Road, Newport",CB11 3TN,(01799) 256274
"Ely Delivery Office, Cresswells Lane, Ely",CB7 4PF,(01353) 882346
"Flat 122, The Belvedere, Homerton Street, Cambridge",CB2 0NU,(01223) 884660
"1 Newnham Lane, Burwell",CB25 0EA,(01638) 157312
"6 Bourn Bridge Road, Little Abington",CB21 6BJ,(01799) 686773
"8 Doggets Lane, Fulbourn",CB21 5BT,(01223) 578005
"18 Christs Lane, Cambridge",CB1 1NP,(01223) 431758
"Pond Cottage, Wenden Road, Arkesden",CB11 4HB,(01799) 705401
"1 Brook Row, Saffron Walden",CB10 2GE,(01799) 275744
"7 Conway Close, Cambridge",CB1 9LY,(01223) 548486
"3 Hicks Way, Sturmer",CB9 7YU,(01440) 020630
"6 Reddings Close, Saffron Walden",CB11 4AZ,(01799) 862403
"77 Fulbourn Road, Cambridge",CB1 9JL,(01223) 235145
"2 Spooners Close, Dullingham",CB8 9UL,(01638) 408787
"14 Castle Street, Saffron Walden",CB10 1BP,(01799) 763430
"40 High Street, Girton",CB3 0PU,(01954) 136173
"Arbor Grange, Babraham Road, Cambridge",CB22 3AY,(01223) 411725
"4 Victoria Road, Haverhill",CB9 9PS,(01440) 253577
"14 Shepherds Court, Haverhill",CB9 8HU,(01440) 772040
"48 Meadowsweet Close, Haverhill",CB9 9DN,(01440) 880863
"11 Orchid Close, Little Thetford",CB6 3JE,(01353) 318334
"3 Caius Farm Cottages, Shelford Bottom, Cambridge",CB22 3AA,(01223) 427257
"18 Parade Lane, Ely",CB7 4JA,(01353) 781800
"9 Redwood Lodge, Cambridge",CB3 9AR,(01223) 220461
"270 - 289 Science Park, Cambridge",CB4 0WE,(01223) 584113
"The Shires, Low Road, Queen Adelaide",CB7 4UQ,(01353) 682037
"2 Snape Yard, Great Cambourne",CB23 6GJ,(01954) 121408
"71 Main Street, Pymoor",CB6 2DY,(01353) 485141
"5 Ruskin Close, Haverhill",CB9 7GJ,(01440) 651115
"13 Halifax Way, Newmarket",CB8 0DH,(01638) 231348
"35 River Lane, Cambridge",CB5 8HP,(01223) 505081
"Lavender Lodge, Stubbins Lane, Gazeley",CB8 8RL,(01638) 768734
"93 Barrons Way, Comberton",CB23 7DR,(01954) 207205
"22 Orchard Way, Burwell",CB25 0EQ,(01638) 561847
"2 Walnut Tree Close, Stretham",CB6 3JA,(01353) 563160
"30 Seymour Drive, Haverhill",CB9 9PG,(01440) 736812
"1 Coopers Court, Linton",CB21 4HG,(01799) 678575
"Church Farm, The Hamlet, Chettisham",CB6 1SB,(01353) 845440
"16 Windermere Close, Cambridge",CB1 9XW,(01223) 218283
"37 Eltisley Avenue, Cambridge",CB3 9JQ,(01223) 637654
"Brunswick House, 87 Newmarket Road, Cambridge",CB5 8FS,(01223) 001306
"2 Stanesfield Close, Cambridge",CB5 8NJ,(01223) 326811
"41 High Street, Barton",CB23 7BG,(01223) 755372
"51 Fitzgerald Place, Cambridge",CB4 1WA,(01223) 128024
"61 Beaumont Road, Cambridge",CB1 8PX,(01223) 706868
"7 Nicholson Way, Cambridge",CB4 2RP,(01223) 658632
"110 Nuns Way, Cambridge",CB4 2NR,(01223) 178325
"11 Flatford Road, Haverhill",CB9 7WW,(01440) 343067
"4 The Grove, Linton",CB21 4UQ,(01799) 285731
"75 Station Road, Fordham",CB7 5LP,(01638) 147404
"1 Trinity Drive, Newmarket",CB8 8BJ,(01638) 880257
"1 Cheason Walk, Waterbeach",CB25 9FJ,(01223) 882470
"Rumbolds Chase, Nosterfield End, Castle Camps",CB21 4TE,(01440) 734143
"40 Guntons Close, Soham",CB7 5DN,(01353) 577138
"8 Pear Tree Close, Haddenham",CB6 3UU,(01353) 842771
"56 Alpha Road, Cambridge",CB4 3DG,(01223) 743103
"2 Trinity Lane, Cambridge",CB22 5FE,(01223) 057286
"29 Sterne Close, Cambridge",CB1 3RA,(01223) 603358
"36 Myrtle Drive, Burwell",CB25 0AJ,(01638) 274502
"25 Mill Road, Impington",CB24 9PE,(01223) 654845
"2 School Road, Ely",CB6 2FG,(01353) 027577
"61B Ely Road, Little Downham",CB6 2SN,(01353) 810800
"Red Oaks, Redoaks Hill, Ashdon",CB10 2LY,(01799) 762563
"22 Mill Close, Burwell",CB25 0HL,(01638) 135215
"17 Fennels Close, Haverhill",CB9 8NP,(01440) 554676
"The Gardens, Lynn Road, Ely",CB6 1SD,(01353) 036343
"12 Enfield, Cambridge",CB1 1QG,(01223) 301085
"46 Blinco Grove, Cambridge",CB1 7TS,(01223) 730456
"1 Orchard Avenue, Cambridge",CB4 2AQ,(01223) 622678
"East Farthings, Stretham Road, Wilburton",CB6 3RX,(01353) 152463
"9 Fair Leas, Saffron Walden",CB10 2DR,(01799) 261386
"10 Cranleigh Close, Trumpington",CB2 9NP,(01223) 680747
"73 Sturton Street, Cambridge",CB1 2QG,(01223) 682160
"37 Audley Road, Saffron Walden",CB11 3HD,(01799) 055712
"16 Round Church Street, Cambridge",CB5 8AD,(01223) 707475
"Meadow View, Fen End, Over",CB24 5NE,(01954) 377728
"86 Fieldside, Ely",CB6 3AR,(01353) 716280
"55 Canterbury Street, Cambridge",CB4 3QG,(01223) 171832
"56 The Causeway, Isleham",CB7 5SZ,(01638) 553408
"37 Meadowsweet Close, Haverhill",CB9 9DN,(01440) 826141
"9 Horseshoes Lane, Weston Colville",CB21 5NU,(01440) 668813
"33 Selwyn Close, Newmarket",CB8 8DD,(01638) 033556
"St Olaves, Park Lane, Castle Camps",CB21 4ST,(01440) 452027
"Stone House, 18 Mill Street, Isleham",CB7 5RY,(01638) 725650
"1 The Causeway, West Wratting",CB21 5NA,(01440) 205003
"Lofts Green, Knole Lane, Duddenhoe End",CB11 4UZ,(01799) 570645
"8 Ferndale Close, Newmarket",CB8 7DZ,(01638) 422418
