Address,Postcode,Phone number
"Sain-Y-Mynydd, James Road, Blaengarw",CF32 8BP,(01656) 852477
"2 Southern Road, Aberkenfig",CF32 9RD,(01656) 166560
"25 Wordsworth Avenue, Cardiff",CF24 3FR,(029) 2742 0741
"4 Brynamlwg, Tonypandy",CF40 1BT,(01443) 861132
"50 Beechley Drive, Cardiff",CF5 3SN,(029) 0204 0627
"2 Church Road, Whitchurch",CF14 2DZ,(029) 8621 6021
"102 George Street, Barry",CF63 4NL,(01446) 186252
"52 Mackintosh Place, Cardiff",CF24 4RQ,(029) 1455 2642
"2 Kingsland Crescent, Barry",CF63 4JQ,(01446) 732561
"6 Llantwit Major Road, Cowbridge",CF71 7JP,(01656) 525674
"108 Clifton Street, Cardiff",CF24 1LU,(029) 2125 2837
"Christadelphians Hall, Gwawr Street, Aberaman",CF44 6YP,(01685) 436601
"2 Efail Shingrig, Trelewis",CF46 6DP,(01443) 223645
"8 Tai Newydd, Poplar Road, Rhydyfelin",CF37 5LQ,(01443) 437738
"11 - 13 City Road, Cardiff",CF24 3BJ,(029) 1246 7230
"4 Cross Street, Maesteg",CF34 9YT,(01639) 338765
"52 Flora Street, Cardiff",CF24 4EQ,(029) 0256 1031
"4 Honeysuckle Way, Brackla",CF31 2NT,(01656) 240702
"1 Legion Court, Pontlottyn",CF81 9PZ,(01685) 415767
"36 Salisbury Close, Heolgerrig",CF48 1SD,(01685) 620851
"The Cardiff Brewery, Crawshay Street, Cardiff",CF10 5DS,(029) 5626 1374
"7 Llwyn Rhosyn, Cardiff",CF14 6NS,(029) 8871 3732
"Ashville, 3 Heol Goedog, Cefn Cribwr",CF32 0AN,(01656) 101221
"Crossing Cottage, Cemetery Road, Ogmore Vale",CF32 7HR,(01656) 150585
"35 Sapphire Street, Cardiff",CF24 1PY,(029) 0123 5766
"6 Meredith Road, Cardiff",CF24 2SX,(029) 8550 2160
"62 Lon Y Celyn, Cardiff",CF14 7BW,(029) 5428 6547
"7 Belgrave Terrace, Pontypridd",CF37 4LY,(01443) 484638
"2 Middlegate Walk, Cowbridge",CF71 7LA,(01656) 236381
"9 Bryntirion Street, Dowlais",CF48 3RY,(01685) 178054
"Willowford Stables, Gwaelod Y Garth",CF15 9JL,(01443) 765008
"2 Speedwell Close, Pontprennau",CF23 8QF,(029) 0701 8267
"129 Ewenny Road, Bridgend",CF31 3LN,(01656) 205407
"3 Belle View Terrace, Barry",CF63 2JQ,(01446) 255761
"Abernant Cottage, Llancarfan",CF62 3AT,(01446) 842715
"5 Heol Urban, Cardiff",CF5 2QP,(029) 1571 2154
"34 Heol Y Pentre, Pentyrch",CF15 9QE,(01443) 264526
"Flat 9, Harlech House, Heol Isaf, Radyr",CF15 8AP,(029) 8018 1168
"24 Orchard Place, Cardiff",CF11 9DY,(029) 4482 0563
"44 Glan Y Ffordd, Taffs Well",CF15 7SJ,(01443) 026031
"351 Western Avenue, Cardiff",CF5 2BB,(029) 1434 4603
"9 Pantglas, Llanbradach",CF83 3PD,(01443) 457861
"15 Troedyrhiw Road, Porth",CF39 0DP,(01443) 047018
"11 Hermon Street, Treorchy",CF42 6PW,(01443) 006373
"13 Verona House, Vellacott Close, Cardiff",CF10 4AT,(029) 8480 4560
"2 Dyffryn Gardens, Rhydyfelin",CF37 5SA,(01443) 681718
"7 Clas Yorath, Cardiff",CF14 1QG,(029) 7401 7371
"5 St David Street, Pontycymer",CF32 8LT,(01656) 064266
"51 Lee Close, Llanedeyrn",CF23 9JU,(029) 1705 7104
"70 Caer Fferm, Caerphilly",CF83 2QD,(01443) 867515
"20A Wellfield Road, Cardiff",CF24 3PB,(029) 5506 2011
"13 Ellesmere Court, St Mellons",CF3 0AP,(029) 6180 8310
"5 St Fagans Close, Cardiff",CF5 3AZ,(029) 5616 5612
"1 Maes Glas Cottages, Gwaelod Y Garth",CF15 9JF,(01443) 248601
"57 Dumfries Street, Treorchy",CF42 6TP,(01685) 462783
"145 Bryncyn, Cardiff",CF23 7BN,(029) 2167 7813
"Flat 1, Partridge Court, Partridge Road, Cardiff",CF24 3QP,(029) 3651 3302
"3 Ceridwen Terrace, Llantrisant",CF72 8ER,(01443) 687140
"1A Hengoed Road, Hengoed",CF82 7NX,(01443) 431713
"36 Archer Crescent, Cardiff",CF5 4EZ,(029) 2276 5678
"12A Conybeare Road, Sully",CF64 5US,(01446) 060420
"83 High Street, Nelson",CF46 6HA,(01443) 762533
"51 Maes Y Deri, Aberdare",CF44 6TF,(01685) 550477
"334 Cyncoed Road, Cardiff",CF23 6RZ,(029) 3022 4101
"5 Bronheulog Terrace, Troedyrhiw",CF48 4ES,(01685) 515324
"Cwm Cottage, Efail Isaf",CF38 1AT,(01443) 831748
"11 Heol Penllwyn, Pentyrch",CF15 9PZ,(01443) 155031
"2 Tair Briallu, Hirwaun",CF44 9PQ,(01685) 732875
"61 Elizabeth Street, Pentre",CF41 7JW,(01443) 684548
"34 Cuckoo Street, Pantygog",CF32 8DR,(01656) 743812
"13 Gelliron, Penpedairheol",CF82 8HF,(01443) 536126
"10 Murrells Close, Llantwit Fardre",CF38 2NF,(01443) 585480
"50 New Road, Porthcawl",CF36 5DN,(01656) 817486
"29 Taunton Avenue, Llanrumney",CF3 4EQ,(029) 1733 5102
"26 Jenner Road, Barry",CF62 7HG,(01446) 307444
"Plot 24 Colchester Avenue, Penylan",CF23 9AP,(029) 5138 5035
"Park View, Talbot Road, Llantrisant",CF72 8AW,(01443) 562224
"61 Heol Ebwy, Cardiff",CF5 5ED,(029) 0038 1732
"30 Rhymney Street, Cardiff",CF24 4DF,(029) 2688 7226
"3B Graig Street, Aberdare",CF44 7PG,(01685) 327236
"Westview House Unit 6, Oak Tree Court, Mulberry Drive, Cardiff Gate Business Park",CF23 8RS,(029) 6480 2133
"Hafod, Lisburn Rise, Hirwaun",CF44 9TR,(01685) 581683
"55 Heol Pant Y Deri, Cardiff",CF5 5PN,(029) 2775 3714
"Ninth Floor, Block B, Southgate House, Wood Street, Cardiff",CF10 1EW,(029) 1203 0127
"18 Gaen Street, Barry",CF62 6JZ,(01446) 344484
"18 Winchester Avenue, Penylan",CF23 9BT,(029) 2861 5653
"6 Addison Avenue, Llanharry",CF72 9LP,(01656) 873001
"Flat 1, Cornborough Lodge, Ty Gwyn Road, Penylan",CF23 5JG,(029) 7267 5434
"1 Tramway, Hirwaun",CF44 9NU,(01685) 775128
"7 School Street, Williamstown",CF40 1NH,(01443) 088211
"The Cottage, Jubilee Lane, Penarth",CF64 1BL,(029) 3146 3523
"Ground Floor Flat, 31 Victoria Avenue, Porthcawl",CF36 3HD,(01656) 256408
"Betting Shop, Gwladys Street, Penywaun",CF44 9DE,(01685) 471582
"7 Doe Close, Penylan",CF23 9HJ,(029) 2232 5453
"10 Garth Grove, Hirwaun",CF44 9SD,(01685) 010208
"57 Lon Y Celyn, Cardiff",CF14 7BU,(029) 7528 6243
"1 Cross Row, Tonypandy",CF40 1HD,(01443) 066044
"6 Kymin Terrace, Penarth",CF64 1WW,(029) 6552 1222
"28 Graig Avenue, Abercwmboi",CF44 6AF,(01685) 870304
"12 Davies Street, Ystrad Mynach",CF82 8AD,(01443) 623380
"25 Pen Y Fro, Pencoed",CF35 6JG,(01656) 144074
"Raegyll, Station Road East, Wenvoe",CF5 6AH,(01446) 103347
"3 Llancaiach Road, Cardiff",CF14 1PX,(029) 5241 3251
"41 Picton Street, Maesteg",CF34 0HG,(01639) 211066
"2 The Elms, Peterston Super Ely",CF5 6NA,(01446) 435158
"47 Coed Y Moeth Road, Aberbargoed",CF81 9DR,(01495) 377822
"7 Bryn Dewi Sant, Miskin",CF72 8TJ,(01443) 436286
"24 Rowan Way, Lisvane",CF14 0TD,(029) 2788 5866
"1 Mawsons Mead, St Nicholas",CF5 6SX,(01446) 337223
"Fferam Annwfn, Sully Road, Penarth",CF64 2TR,(01446) 025167
"46 Tanyrallt Avenue, Bridgend",CF31 1PQ,(01656) 032650
"1 Balmoral Close, Lisvane",CF14 0EX,(029) 1810 2378
"115 Ffordd Gerdinan, Tonteg",CF38 1ES,(01443) 833676
"1 Dan Y Deri Cottages, Mountain Ash",CF45 3RT,(01685) 621621
"28A Pantygraigwen Road, Pontypridd",CF37 2RR,(01443) 463384
"32 Sherbourne Close, Barry",CF62 8AQ,(01446) 678700
"8 Carys Close, Cardiff",CF5 4PN,(029) 4214 6275
"4 Nolton Place, Bridgend",CF31 3BU,(01656) 472058
"71 St Michaels Road, Cardiff",CF5 2AN,(029) 5488 0586
"151 Nantgarw Road, Caerphilly",CF83 1AN,(01443) 442440
"3 Church Terrace, Barry",CF63 1ND,(01446) 384113
"Flat 10, Glyndwr House, Caedraw Road, Merthyr Tydfil",CF47 8HL,(01685) 400528
"2 Llantrisant Road, Cardiff",CF5 2PX,(029) 5588 8362
"4 Gethin Road, Treorchy",CF42 6SE,(01685) 880576
"44 Corvette Court, Cardiff",CF10 4NN,(029) 6674 2158
"Practical Precision Engineering, Llwynypia Road, Tonypandy",CF40 2EH,(01443) 007204
"4 Kingfisher Road, North Cornelly",CF33 4NZ,(01656) 840067
"The Old Dairy, Durell Street, Llantwit Major",CF61 1AD,(01656) 154151
"13 Clos Y Gog, Bridgend",CF31 5FP,(01656) 470575
"11 Wyndham Street, Treherbert",CF42 5BT,(01685) 603667
"Rhyd House, Pen-Y-Fai",CF31 4LP,(01656) 545431
"97 St Davids Crescent, Penarth",CF64 3NA,(029) 3881 0400
"Graig House, Alma Terrace, Dowlais",CF48 3RU,(01685) 175048
"3 Colbourne Road, Beddau",CF38 2LN,(01443) 827711
"Woodridge, Cross Common Road, Penarth",CF64 3UU,(01446) 415536
"108 Clos Yr Eryr, Bridgend",CF35 6HF,(01656) 663724
"Unit 6 Templar Park Industrial Estate, Cardiff",CF24 5EW,(029) 0440 5817
"1 The Mews, Penylan",CF23 9FL,(029) 5331 2572
"33 Cornelly Street, Cardiff",CF14 2HQ,(029) 2603 1401
"1 Capel Street, Bargoed",CF81 8RY,(01685) 435270
"16 St Ambrose Road, Cardiff",CF14 4BG,(029) 4043 5787
"51 St Davids Close, Brackla",CF31 2BN,(01656) 346021
"3 Harris Court, Treharris",CF46 5LX,(01443) 550214
"Unit 3, Waterton Building, Moor Road, Waterton Industrial Estate",CF31 3TR,(01656) 883221
"6 Wyndham Street, Llanharan",CF72 9RY,(01656) 635883
"1 Mountain View, Abertridwr",CF83 4AT,(01443) 422727
"39 Ernest Street, Merthyr Tydfil",CF47 0YP,(01685) 471182
"1 Sunny Bank, Ynyshir",CF39 0NY,(01443) 802875
"12 Church Street, Llanbradach",CF83 3LS,(01443) 851240
"14 Kennard Street, Ton Pentre",CF41 7AY,(01443) 703813
"30 Trevor Street, Aberdare",CF44 7NN,(01685) 655675
"15 Glynbridge Close, Barry",CF62 9FN,(01446) 761081
