Address,Postcode,Phone number
"14 Oxford Court, Chelmsford",CM2 6AX,(01245) 145250
"Flat 6, Tendring Court, Woodland Avenue, Hutton",CM13 1DF,(01277) 153641
"19 Wickham Crescent, Braintree",CM7 3BW,(01376) 533084
"8 Bylands Close, Bishop's Stortford",CM23 4HQ,(01279) 642818
"Chase Cottage, Mill Green Road, Mill Green",CM4 0HY,(01277) 434022
"Flett Cottage, The Ridge, Little Baddow",CM3 4RZ,(01621) 485618
"149B High Street, Ongar",CM5 9JD,(01277) 503101
"68 New Road, Tollesbury",CM9 8RE,(01621) 601024
"Flat 8, Gibson Court, Bishopsfield, Harlow",CM18 6FF,(01992) 172357
"34 Lombards Chase, West Horndon",CM13 3UA,(01277) 727420
"4 Nicholls Field, Harlow",CM18 6DY,(01992) 307663
"15 Bickerton Point, South Woodham Ferrers",CM3 5YG,(01621) 033735
"14 Home Close, Harlow",CM20 3PD,(01992) 354528
"5 Barn Mead, Braintree",CM7 3AF,(01376) 834862
"10 Dolby Rise, Chelmsford",CM2 6XQ,(01245) 570834
"Richmonds Farm House, Parsloe Road, Epping Green",CM16 6QB,(01992) 678757
"68 Lodge Road, Braintree",CM7 1JB,(01376) 316242
"13 Edwards Way, Hutton",CM13 1BT,(01277) 168805
"49 Broadfield, Harlow",CM20 3PS,(01992) 648248
"25 Barley Croft, Harlow",CM18 7QY,(01992) 646631
"11 Ganels Road, Billericay",CM11 2TE,(01268) 754554
"12 James Croft, Galleywood",CM2 8WD,(01245) 335807
"13 - 15 Millfields, Stansted",CM24 8AT,(01279) 342380
"1 Snakes Hill, Navestockside",CM14 5SA,(01277) 713633
"12 Arthy Close, Hatfield Peverel",CM3 2HA,(01621) 665405
"20 Venmore Drive, Dunmow",CM6 1HN,(01371) 350732
"The Ridings, The Common, Galleywood",CM2 8JX,(01245) 830175
"23 Sanderling Gardens, Heybridge",CM9 4TP,(01621) 772738
"7 Bittern Lane, Newhall",CM17 9GH,(01279) 253172
"Crowbush, The Village, Great Waltham",CM3 1AT,(01245) 808244
"Gillies, Bakers Field, Stock",CM4 9NJ,(01245) 006167
"Elnor, Rookery Road, Blackmore",CM4 0LG,(01277) 221250
"8 Jeffreys Court, Jeffreys Road, Cressing",CM77 8JP,(01376) 702503
"18 Cutlers Close, Bishop's Stortford",CM23 4FW,(01279) 644266
"6 Mons Avenue, Billericay",CM11 2HG,(01268) 271551
"6 Plover Crescent, Harlow",CM17 0SH,(01279) 652804
"4 Bishops Avenue, Braintree",CM7 3PS,(01376) 387056
"12 Lettons Chase, South Woodham Ferrers",CM3 5GB,(01621) 867300
"Rookwood, High Street, Ingatestone",CM4 0DX,(01277) 513362
"3 The Skippers, Tollesbury",CM9 8QU,(01621) 828886
"35 Chelmsford Road, Shenfield",CM15 8RB,(01277) 564058
"43 Wheatfield Way, Chelmsford",CM1 2QZ,(01245) 200121
"62 Broughton Road, South Woodham Ferrers",CM3 5YX,(01621) 670364
"Old Forge, Molehill Green, Takeley",CM22 6PQ,(01371) 315436
"Bakers Farm Cottage, High Wych Lane, High Wych",CM21 0JL,(01279) 886770
"1 The Cottage, Fingrith Hall Road, Blackmore",CM4 0RU,(01277) 366123
"Unit B, Barrows Road, Harlow",CM19 5FD,(01992) 846356
"2 Estella Mead, Chelmsford",CM1 4XH,(01245) 277140
"23 Mildmay Road, Burnham-On-Crouch",CM0 8ED,(01702) 533015
"Shutters, Queenborough Lane, Rayne",CM77 6TB,(01376) 278177
"Flat 18, Argyll Court, Sawyers Hall Lane, Brentwood",CM15 9BQ,(01277) 814240
"12 Church View Close, Takeley",CM22 6TZ,(01279) 385583
"76 Vicarage Road, Chelmsford",CM2 9PH,(01245) 021655
"52 St Stephens Crescent, Brentwood",CM13 2AX,(01277) 617500
"142 Spencers Croft, Harlow",CM18 6JS,(01992) 205334
"14 Knight Street, Sawbridgeworth",CM21 9AT,(01279) 314247
"Oakhurst, 167 Chelmsford Road, Shenfield",CM15 8SA,(01277) 040310
"136 Lawrence Moorings, Sawbridgeworth",CM21 9PF,(01279) 215375
"51A The Drive, Great Warley",CM13 3BH,(01277) 420467
"Fridays, Little Bardfield",CM7 4TW,(01371) 000611
"1 Meads Cottages, Great Waltham",CM3 1EH,(01245) 645773
"4 Keats Walk, Hutton",CM13 2RY,(01277) 744607
"4 Badnocks Cottages, Asheldham",CM0 7LD,(01621) 224040
"Unit 10, Chancerygate, 33 Tallon Road, Hutton",CM13 1TE,(01277) 860112
"8 Bruce Grove, Chelmsford",CM2 9AX,(01245) 505274
"Kluang, Shoemenders Lane, Bradwell-On-Sea",CM0 7GQ,(01621) 175417
"19 Woodland Close, Hatfield Peverel",CM3 2DA,(01621) 711570
"29 Little Meadow, Writtle",CM1 3LQ,(01245) 820403
"29 Gleneagles Way, Hatfield Peverel",CM3 2RT,(01621) 401746
"2B Brook Road, Epping",CM16 7BS,(01992) 136818
"244 Little Brays, Harlow",CM18 6HB,(01992) 516152
"The Bear, Mill Road, Stock",CM4 9BH,(01245) 318366
"14 Hemlock Close, Witham",CM8 2SY,(01621) 251038
"Boundary House, 4 County Place, Chelmsford",CM2 0RE,(01245) 788324
"23 Forsyth Drive, Braintree",CM7 1AR,(01376) 114838
"13 Morris Road, Chelmsford",CM2 6EU,(01245) 111320
"21 Elm Close, Epping Green",CM16 6PT,(01992) 320244
"9 Hallett Road, Flitch Green",CM6 3FL,(01371) 337735
"Flat 11, Old Parsonage Court, Guithavon Street, Witham",CM8 1XP,(01621) 436658
"Mildmay Cottage, Mildmay Walk, Chelmsford",CM2 0GX,(01245) 650742
"68 Galleywood Road, Great Baddow",CM2 8DN,(01245) 131185
"38 Woodrolfe Road, Tollesbury",CM9 8SD,(01621) 766257
"14 Buckleys, Chelmsford",CM2 7DY,(01245) 181672
"41 Highfield Rise, Althorne",CM3 6DN,(01621) 305765
"4 Barber Close, Great Totham",CM9 8FL,(01621) 183608
"105 Brownings Avenue, Chelmsford",CM1 4HX,(01245) 100281
"3 Maltings Wharf, Sawbridgeworth",CM21 9JF,(01279) 208114
"Justices Cottage, Wethersfield Road, Finchingfield",CM7 4NX,(01376) 630808
"24 King Georges Road, Pilgrims Hatch",CM15 9LL,(01277) 365861
"6 Ashgrove, Burnham-On-Crouch",CM0 8DP,(01702) 745214
"11A Stewarts Way, Manuden",CM23 1DR,(01279) 471376
"9 Gifford Place, Warley",CM14 5UD,(01277) 580200
"35 Hammonds Lane, Great Warley",CM13 3AH,(01277) 225362
"2 Chantry Cottages, Waltham Road, Boreham",CM3 3AR,(01245) 705515
"21 The Square, Stock",CM4 9LH,(01245) 236388
"4 Warder Close, Dunmow",CM6 3TT,(01371) 335212
"Brook Cottage, Mutton Row, Stanford Rivers",CM5 9QQ,(01277) 071374
"Cherry Tree Cottage, Lodge Road, Bicknacre",CM3 4HQ,(01621) 517660
"39 Greenway Gardens, Braintree",CM77 7QB,(01376) 722752
"6 Oldhouse Croft, Harlow",CM20 3QG,(01992) 302105
"5 Buckingham Court, Springfield",CM2 6XW,(01245) 080040
"2 Henry Place, 7 - 9 The Mount, Brentwood",CM14 4QR,(01277) 048313
"24 Greding Walk, Hutton",CM13 2UF,(01277) 684475
"31 Wilfred Waterman Drive, Springfield",CM1 6AZ,(01245) 536138
"150 Crow Green Road, Pilgrims Hatch",CM15 9SH,(01277) 702104
"8 Earls Close, Bishop's Stortford",CM23 4HW,(01279) 644766
"Duck End Cottage, 2 - 4 Duck End, Finchingfield",CM7 4NA,(01376) 124110
"19 Glenside, Billericay",CM11 2LY,(01268) 750272
"173 The Hides, Harlow",CM20 3QS,(01992) 405344
"Church Farm, Hastingwood Road, Hastingwood",CM17 9JT,(01992) 076587
"7 St James Avenue, Ongar",CM5 9EL,(01277) 456831
"44 Slade End, Theydon Bois",CM16 7EP,(01708) 663346
"1A Rockleigh Court, Hutton Road, Shenfield",CM15 8NH,(01277) 876420
"6 Chestnuts, Hutton",CM13 2PA,(01277) 357663
"Flat A, Copeland House, Firsgrove Road, Warley",CM14 5JJ,(01277) 416036
"15 The Hopgrounds, Finchingfield",CM7 4LU,(01376) 688584
"September Cottage, Blackmore End",CM7 4DQ,(01376) 707317
"Three Trees, 1 Lewis Close, Shenfield",CM15 9AE,(01277) 433470
"15 Beehive Lane, Chelmsford",CM2 9SU,(01245) 642303
"1 Court Two, Witham",CM8 2QN,(01376) 270777
"173 Hanging Hill Lane, Hutton",CM13 2QG,(01277) 276260
"121 Nottage Crescent, Braintree",CM7 2TF,(01376) 345534
"304 Long Banks, Harlow",CM18 7PE,(01992) 444457
"2 Reubens Road, Hutton",CM13 1BE,(01277) 180520
"65 The Keatings, Kelvedon Hatch",CM15 0XH,(01277) 032282
"1 Culver Rise, South Woodham Ferrers",CM3 5FL,(01621) 207257
"94 Ryecroft, Harlow",CM19 4BH,(01992) 254013
"5 Lovett Close, Bishop's Stortford",CM23 2XL,(01279) 463836
"8 Priory Court, Harlow",CM18 7AX,(01992) 470418
"14 Magnolia Way, Pilgrims Hatch",CM15 9QS,(01277) 851752
"4 Chestnut Drive, Hatfield Heath",CM22 7EZ,(01279) 431005
"4 Flands Cottages, Berners Roding",CM5 0TD,(01245) 606061
"49 Plovers Mead, Wyatts Green",CM15 0PS,(01277) 812375
"6 Sharpington Close, Chelmsford",CM2 8YH,(01245) 126468
"1 Hallam Court, Billericay",CM12 0JY,(01277) 878232
"Boarded Barns, Fyfield Road, Ongar",CM5 0HJ,(01277) 144106
"Flat 7, Guisnes Court, Back Road, Tolleshunt Darcy",CM9 8TW,(01621) 615430
"22 Dove Close, Bishop's Stortford",CM23 4JD,(01279) 351502
"21 Birk Beck, Windrush Drive, Chelmsford",CM1 7QR,(01245) 771386
"27 Kingston Chase, Heybridge",CM9 4TB,(01621) 880210
"8 Coopers Close, Bishop's Stortford",CM23 4GA,(01279) 311803
"7 Burghley Avenue, Bishop's Stortford",CM23 4PD,(01279) 153666
"209 Malkin Drive, Church Langley",CM17 9HJ,(01992) 428532
"137 Western Road, Billericay",CM12 9JH,(01277) 064603
"75 Westfield, Harlow",CM18 6AE,(01992) 600765
"46 Great Eastern Road, Warley",CM14 5EH,(01277) 270108
"Sparrows, Abbess Roding",CM5 0JL,(01371) 388823
"16 Millbridge Road, Witham",CM8 1HB,(01621) 024085
"188 The Hornbeams, Harlow",CM20 1PL,(01992) 650156
"105 Kennel Lane, Billericay",CM11 2ST,(01268) 230400
"S Walsh & Sons Ltd, Tilbury Road, West Horndon",CM13 3LR,(01277) 875562
"1 Longcroft, Stansted",CM24 8JD,(01279) 074486
"28 Costead Manor Road, Brentwood",CM14 4YN,(01277) 208578
"Kingstons, Mill Road, Felsted",CM6 3HQ,(01371) 317402
"4 Olivers Drive, Witham",CM8 1QJ,(01621) 314884
"32 The Hides, Harlow",CM20 3QL,(01992) 003141
"Lingford, Cuckoo Lane, Great Canfield",CM6 1LB,(01371) 424835
"12 Tudor Court, The Galleries, Warley",CM14 5FS,(01277) 648027
"4 Wimsey Court, Witham",CM8 2LS,(01376) 128261
"23 South Primrose Hill, Chelmsford",CM1 2RF,(01245) 600514
"4 Limetree Cottages, Dunmow",CM6 2BA,(01371) 170857
"150 Tylers Ride, South Woodham Ferrers",CM3 5ZE,(01621) 177340
"1 Bantock Way, Witham",CM8 1BG,(01621) 285263
"Flat 11, 25 Windhill, Bishop's Stortford",CM23 2GE,(01279) 078476
"2 The Munnions, Bell Street, Great Baddow",CM2 7HN,(01245) 286380
"48 Wheatfield Way, Chelmsford",CM1 2RA,(01245) 822452
"Bencott, Newport Avenue, Cold Norton",CM3 6NR,(01621) 303605
"18 Jeffreys Road, Cressing",CM77 8JQ,(01376) 048767
"2 Lanham Farm Road, Cressing",CM77 8FF,(01376) 460552
"2 Fourleet Cottages, Salcott",CM9 8HP,(01621) 577475
"8 The Square, Stock",CM4 9LH,(01245) 058628
"4 Pitchway, Newhall",CM17 9FH,(01992) 684781
"5B Thornwood Road, Epping",CM16 6SX,(01992) 320853
"213 Halling Hill, Harlow",CM20 3JR,(01992) 800206
"4 Janmead, Hutton",CM13 2PU,(01277) 545368
"20 Burnell Gate, Chelmsford",CM1 6ED,(01245) 025502
"64 Hare Street Springs, Harlow",CM19 4AW,(01992) 653086
"3 Lower Cloister, Billericay",CM11 2AN,(01268) 762810
"Flat 50, Wells Crescent, Marconi Plaza, Chelmsford",CM1 1GN,(01245) 076003
"37 Fambridge Road, Maldon",CM9 6AE,(01621) 720888
"105 Park Road, Brentwood",CM14 4TT,(01277) 241672
"108 Brentwood Road, Herongate",CM13 3NY,(01277) 886744
"73A High Street, Brentwood",CM14 4RW,(01277) 152700
"16 Buxton Road, Theydon Bois",CM16 7HD,(01708) 748643
"12 The Pightle, Thaxted",CM6 2FL,(01371) 474715
