Address,Postcode,Phone number
"Flat 2, Burnan Court, Burnan Road, Whitstable",CT5 2SH,(01227) 350051
"17 Kingsdown Park, Whitstable",CT5 2DT,(01227) 085123
"10 Tothill Street, Minster",CT12 4AG,(01843) 358765
"18 Kent Street, Whitstable",CT5 4HS,(01227) 467678
"The Willows, Green Lane, Margate",CT9 3UG,(01843) 574184
"Railway Crossing Cottage, Ash Road, Sandwich",CT13 9JB,(01843) 436756
"50 Guilton, Ash",CT3 2HP,(01843) 806100
"3 The Lodge Chequers, Golf Road, Deal",CT14 6RG,(01843) 542262
"8 Station Road, Birchington",CT7 9DQ,(01843) 815815
"4 Cogans Terrace, Canterbury",CT1 3SJ,(01227) 543200
"75 George V Avenue, Margate",CT9 5RF,(01843) 280407
"8 Manston Way, Margate",CT9 4FH,(01843) 553240
"10 Sunningdale Walk, Greenhill",CT6 7TR,(01227) 561632
"154 Church Path, Deal",CT14 9TU,(01304) 834374
"9 Old Dover Road, Capel Le Ferne",CT18 7HJ,(01303) 043207
"5 Vicarage Place, Margate",CT9 1LQ,(01843) 316841
"Copt Hill Farm, West Hougham",CT15 7BP,(01304) 670583
"5 Victoria Crescent, Dover",CT16 1DU,(01304) 884775
"W H Smith Ltd, Uk Terminal, Folkestone",CT18 8XX,(01303) 003608
"8 Queens Road, Westgate-On-Sea",CT8 8AW,(01843) 366342
"106 Davis Avenue, Deal",CT14 9HL,(01304) 530084
"Flat 6, Roman Row, 3 Adelaide Place, Canterbury",CT1 2QA,(01227) 265156
"Wents Cottage, Sandling Road, Postling",CT21 4HD,(01303) 532011
"12 Hampton Close, Herne Bay",CT6 8BZ,(01227) 177173
"1 Paddock Court, Woodnesborough",CT13 0FG,(01843) 657426
"19 Howard Road, Broadstairs",CT10 1QX,(01843) 285711
"Flat 8, 7 Trinity Crescent, Folkestone",CT20 2ES,(01303) 382203
"Top Floor Flat, 76 Canterbury Road, Herne Bay",CT6 5SB,(01227) 566045
"16 Milestone Close, Folkestone",CT19 5TE,(01303) 871460
"Stour Farm, Riverside, Chartham",CT4 7NX,(01227) 245112
"15 Nurserylands, Eddington",CT6 5TF,(01227) 460205
"195A Beach Street, Deal",CT14 6LZ,(01304) 105367
"34 Chatham Street, Ramsgate",CT11 7PR,(01843) 213271
"Fourth Green, Kings Avenue, Sandwich Bay",CT13 9PG,(01843) 362545
"198 Sea Street, Herne Bay",CT6 8LF,(01227) 007617
"2 Eastry Park, Eastry",CT13 0JL,(01304) 478051
"4 May Tree Cottages, Ripple",CT14 8JE,(01304) 742603
"3 Charnwood Road, Herne Bay",CT6 7UF,(01227) 653630
"29 Clifftown Gardens, Herne Bay",CT6 8DE,(01227) 027372
"2 Mill Lane Cottages, Mill Lane, Eastry",CT13 0JS,(01304) 760145
"35 Morehall Avenue, Folkestone",CT19 4EQ,(01303) 133787
"148A Clements Road, Ramsgate",CT12 6UG,(01843) 406420
"29 Beacon Way, Lympne",CT21 4LJ,(01303) 132582
"2 Glebe Road, Margate",CT9 5PR,(01843) 406234
"6 Grange Court, Folkestone",CT20 2UH,(01303) 662100
"2 Westlands Road, Herne Bay",CT6 7QP,(01227) 524863
"The Birches, Radfall Road, Whitstable",CT5 3ER,(01227) 787515
"84A Church Street, Whitstable",CT5 1PF,(01227) 151257
"Windy Ridge, Victory Road, St Margarets At Cliffe",CT15 6HF,(01304) 111522
"21 Lavender Close, Chestfield",CT5 3QL,(01227) 474264
"4 Cliffsend Grove, Cliffsend",CT12 5JT,(01843) 112558
"Greenways Cottage, Durlock Road, Ash",CT3 2HU,(01843) 582882
"Flat 25, Pleydell Court, Pleydell Gardens, Folkestone",CT20 2DB,(01303) 220276
"69 Patterson Close, Deal",CT14 9NA,(01304) 865348
"5 Riley Avenue, Herne Bay",CT6 8AS,(01227) 138081
"34 Joyes Road, Folkestone",CT19 6NX,(01303) 825035
"Flat 27, The Lawns, 26 Victoria Road, Ramsgate",CT11 8BS,(01843) 180677
"9 Ellington Avenue, Margate",CT9 5PP,(01843) 453320
